dataset,k_shot,embedding,f1,accuracy,precision,recall,loss,training_time,filename
gossipcop,3,deberta,0.7270367819846977,0.8110029940119761,0.6588260277198412,0.8110029940119761,0.581617534160614,1.8996813297271729,genfend_gossipcop_k3_deberta_results.json
gossipcop,4,deberta,0.6847936591398865,0.6803892215568862,0.6893906116662449,0.6803892215568862,0.6491279006004333,1.7414741516113281,genfend_gossipcop_k4_deberta_results.json
gossipcop,5,deberta,0.721844114704265,0.7769461077844312,0.6879565405965161,0.7769461077844312,0.606163740158081,1.9317786693572998,genfend_gossipcop_k5_deberta_results.json
gossipcop,6,deberta,0.7218696853550202,0.7735778443113772,0.6897587062086796,0.7735778443113772,0.6030159592628479,2.17657732963562,genfend_gossipcop_k6_deberta_results.json
gossipcop,7,deberta,0.7140000611022851,0.7440119760479041,0.691452846259864,0.7440119760479041,0.6139122247695923,1.716684341430664,genfend_gossipcop_k7_deberta_results.json
gossipcop,8,deberta,0.726530226997146,0.7750748502994012,0.6983884464026111,0.7750748502994012,0.5974438786506653,1.899263858795166,genfend_gossipcop_k8_deberta_results.json
gossipcop,9,deberta,0.7044422858227577,0.7226796407185628,0.6890222129823728,0.7226796407185628,0.6115782260894775,1.8811328411102295,genfend_gossipcop_k9_deberta_results.json
gossipcop,10,deberta,0.7108621540639978,0.7346556886227545,0.6919449672743847,0.7346556886227545,0.6055281162261963,1.9606075286865234,genfend_gossipcop_k10_deberta_results.json
gossipcop,11,deberta,0.712651526207118,0.7533682634730539,0.6832053017278509,0.7533682634730539,0.5927637815475464,1.8737797737121582,genfend_gossipcop_k11_deberta_results.json
gossipcop,12,deberta,0.716058727560465,0.7406437125748503,0.6971054639153647,0.7406437125748503,0.5989164710044861,1.966243028640747,genfend_gossipcop_k12_deberta_results.json
gossipcop,13,deberta,0.7190052235962098,0.7294161676646707,0.7099009409519493,0.7294161676646707,0.6055031418800354,1.6680233478546143,genfend_gossipcop_k13_deberta_results.json
gossipcop,14,deberta,0.7262348508434514,0.7979041916167665,0.6893249073465255,0.7979041916167665,0.5579046010971069,1.7782561779022217,genfend_gossipcop_k14_deberta_results.json
gossipcop,15,deberta,0.7278993591788842,0.7750748502994012,0.7009363354685977,0.7750748502994012,0.5676279067993164,1.7409193515777588,genfend_gossipcop_k15_deberta_results.json
gossipcop,16,deberta,0.719128135375266,0.7634730538922155,0.6895826123598274,0.7634730538922155,0.5824543237686157,1.9785892963409424,genfend_gossipcop_k16_deberta_results.json
politifact,3,deberta,0.5810604546074782,0.6568627450980392,0.5380423445974135,0.6568627450980392,0.66555255651474,1.7088282108306885,genfend_politifact_k3_deberta_results.json
politifact,4,deberta,0.5970868347338936,0.7156862745098039,0.5122068435217224,0.7156862745098039,0.6283221244812012,1.822727918624878,genfend_politifact_k4_deberta_results.json
politifact,5,deberta,0.5970868347338936,0.7156862745098039,0.5122068435217224,0.7156862745098039,0.6247317790985107,1.7898640632629395,genfend_politifact_k5_deberta_results.json
politifact,6,deberta,0.592292089249493,0.7058823529411765,0.5101921956901572,0.7058823529411765,0.626488208770752,1.650630235671997,genfend_politifact_k6_deberta_results.json
politifact,7,deberta,0.5564105726147901,0.5980392156862745,0.5265332877336981,0.5980392156862745,0.6700336933135986,1.604203224182129,genfend_politifact_k7_deberta_results.json
politifact,8,deberta,0.6036181942476228,0.6568627450980392,0.5800108932461874,0.6568627450980392,0.6596546769142151,2.3206987380981445,genfend_politifact_k8_deberta_results.json
politifact,9,deberta,0.61947261663286,0.7254901960784313,0.8015919238982722,0.7254901960784313,0.6202620267868042,1.642765998840332,genfend_politifact_k9_deberta_results.json
politifact,10,deberta,0.6262685831477586,0.6764705882352942,0.6116557734204793,0.6764705882352942,0.6591457724571228,1.7023651599884033,genfend_politifact_k10_deberta_results.json
politifact,11,deberta,0.6031731140090273,0.696078431372549,0.5822829131652661,0.696078431372549,0.6446224451065063,1.852071762084961,genfend_politifact_k11_deberta_results.json
politifact,12,deberta,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.6078431372549019,0.6629593372344971,1.7659671306610107,genfend_politifact_k12_deberta_results.json
politifact,13,deberta,0.5976931949250288,0.6862745098039216,0.5659591671720234,0.6862745098039216,0.6338127255439758,1.7686820030212402,genfend_politifact_k13_deberta_results.json
politifact,14,deberta,0.6540148448043184,0.6666666666666666,0.6457530728306733,0.6666666666666666,0.6426414847373962,1.927030086517334,genfend_politifact_k14_deberta_results.json
politifact,15,deberta,0.5780490812677272,0.6176470588235294,0.552624829001368,0.6176470588235294,0.6715021133422852,1.7178401947021484,genfend_politifact_k15_deberta_results.json
politifact,16,deberta,0.6109554933084345,0.6862745098039216,0.5935131947515848,0.6862745098039216,0.6321019530296326,1.5531787872314453,genfend_politifact_k16_deberta_results.json
