dataset,k_shot,embedding,model,f1,accuracy,precision,recall,loss,training_time,total_epochs,filename
gossipcop,3,deberta,SGT,0.1584251968503937,0.18824850299401197,0.09412425149700598,0.5,0.7263253331184387,482.01276898384094,31,heterosgt_gossipcop_k3_deberta_SGT_results.json
gossipcop,4,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6816266775131226,416.5303180217743,31,heterosgt_gossipcop_k4_deberta_SGT_results.json
gossipcop,5,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6599502563476562,489.45407724380493,31,heterosgt_gossipcop_k5_deberta_SGT_results.json
gossipcop,6,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6855913400650024,489.0516357421875,31,heterosgt_gossipcop_k6_deberta_SGT_results.json
gossipcop,7,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6832407712936401,850.3628869056702,57,heterosgt_gossipcop_k7_deberta_SGT_results.json
gossipcop,8,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6835312247276306,493.6622681617737,31,heterosgt_gossipcop_k8_deberta_SGT_results.json
gossipcop,9,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6626521944999695,497.10227727890015,31,heterosgt_gossipcop_k9_deberta_SGT_results.json
gossipcop,10,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.659042239189148,499.00849747657776,31,heterosgt_gossipcop_k10_deberta_SGT_results.json
gossipcop,11,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6666299700737,500.5496470928192,31,heterosgt_gossipcop_k11_deberta_SGT_results.json
gossipcop,12,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6459968090057373,428.6442277431488,31,heterosgt_gossipcop_k12_deberta_SGT_results.json
gossipcop,13,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6841942667961121,503.2148792743683,31,heterosgt_gossipcop_k13_deberta_SGT_results.json
gossipcop,14,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.659898042678833,522.4546709060669,31,heterosgt_gossipcop_k14_deberta_SGT_results.json
gossipcop,15,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.649753749370575,580.8774728775024,31,heterosgt_gossipcop_k15_deberta_SGT_results.json
gossipcop,16,deberta,SGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6660775542259216,594.2716948986053,31,heterosgt_gossipcop_k16_deberta_SGT_results.json
politifact,3,deberta,SGT,0.22137404580152673,0.28431372549019607,0.14215686274509803,0.5,0.6949915885925293,25.365846395492554,31,heterosgt_politifact_k3_deberta_SGT_results.json
politifact,4,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.685449481010437,23.668511390686035,31,heterosgt_politifact_k4_deberta_SGT_results.json
politifact,5,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6594558358192444,25.98011350631714,31,heterosgt_politifact_k5_deberta_SGT_results.json
politifact,6,deberta,SGT,0.280241935483871,0.3137254901960784,0.4992481203007519,0.49976381672177606,0.6939975023269653,31.617008686065674,31,heterosgt_politifact_k6_deberta_SGT_results.json
politifact,7,deberta,SGT,0.22137404580152673,0.28431372549019607,0.14215686274509803,0.5,0.6963819861412048,33.82915711402893,31,heterosgt_politifact_k7_deberta_SGT_results.json
politifact,8,deberta,SGT,0.3743752839618355,0.47058823529411764,0.3794466403162055,0.37033538025507795,0.6931650638580322,31.102524757385254,31,heterosgt_politifact_k8_deberta_SGT_results.json
politifact,9,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6679131388664246,37.80740761756897,31,heterosgt_politifact_k9_deberta_SGT_results.json
politifact,10,deberta,SGT,0.430938292476754,0.6764705882352942,0.4375,0.482994803967879,0.6922545433044434,44.864940881729126,35,heterosgt_politifact_k10_deberta_SGT_results.json
politifact,11,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6806229948997498,42.406203508377075,31,heterosgt_politifact_k11_deberta_SGT_results.json
politifact,12,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6652334928512573,37.84994196891785,31,heterosgt_politifact_k12_deberta_SGT_results.json
politifact,13,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6802998781204224,46.38733625411987,31,heterosgt_politifact_k13_deberta_SGT_results.json
politifact,14,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6620994210243225,48.0173704624176,31,heterosgt_politifact_k14_deberta_SGT_results.json
politifact,15,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6802911162376404,43.98276114463806,31,heterosgt_politifact_k15_deberta_SGT_results.json
politifact,16,deberta,SGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6670413017272949,52.62576770782471,31,heterosgt_politifact_k16_deberta_SGT_results.json
